City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Coihaique,CL,2021-09-29 16:21:08,-45.5752,-72.0662,52.41,53,75,9.22
118,Najran,SA,2021-09-29 16:21:08,17.4924,44.1277,84.85,29,92,5.7
119,Saint-Joseph,RE,2021-09-29 16:21:08,-21.3667,55.6167,70.18,78,35,11.1
120,Laguna,US,2021-09-29 16:19:37,38.421,-121.4238,69.48,54,1,1.01
121,Bethel,US,2021-09-29 16:16:50,41.3712,-73.414,66.02,63,40,9.22
122,Pringsewu,ID,2021-09-29 16:21:09,-5.3582,104.9744,75.02,95,100,2.66
123,Bukachacha,RU,2021-09-29 16:21:09,52.9833,116.9167,33.48,78,100,2.95
124,Salta,AR,2021-09-29 16:19:14,-24.7859,-65.4117,73.69,49,75,5.01
125,Vannes,FR,2021-09-29 16:21:09,47.8333,-2.5,66.61,37,8,11.56
126,Rio Gallegos,AR,2021-09-29 16:17:23,-51.6226,-69.2181,62.65,15,0,14.97
127,Nagato,JP,2021-09-29 16:21:10,34.3833,131.2,76.91,81,4,15.97
128,Saldanha,ZA,2021-09-29 16:21:10,-33.0117,17.9442,69.85,62,0,19.77
129,Komsomolskiy,UZ,2021-09-29 16:21:10,40.4272,71.7189,68.72,56,4,6.91
130,Tambura,SS,2021-09-29 16:21:11,5.6,27.4667,78.66,70,100,0.96
131,Bol,TD,2021-09-29 16:21:11,13.4586,14.7147,84.51,69,100,2.73
132,Muros,ES,2021-09-29 16:21:12,42.7762,-9.0603,74.68,68,98,9.6
133,Salalah,OM,2021-09-29 16:21:12,17.0151,54.0924,84.29,84,75,8.05
134,Talnakh,RU,2021-09-29 16:21:12,69.4865,88.3972,32.7,80,100,10.45
135,Manono,CD,2021-09-29 16:21:12,-7.3,27.4167,83.62,51,61,1.83
136,Governador Valadares,BR,2021-09-29 16:17:14,-18.8511,-41.9494,93.42,30,2,5.48
137,San Ramon,US,2021-09-29 16:16:34,37.7799,-121.978,64.63,80,1,1.99
138,Rabo De Peixe,PT,2021-09-29 16:21:13,37.8,-25.5833,74.71,78,20,5.75
139,Barstow,US,2021-09-29 16:21:14,34.8986,-117.0228,69.48,43,100,5.21
140,Koungou,YT,2021-09-29 16:21:14,-12.7336,45.2042,78.51,78,75,8.05
141,Hobart,AU,2021-09-29 16:19:29,-42.8794,147.3294,49.86,82,90,0.0
142,Klaksvik,FO,2021-09-29 16:21:14,62.2266,-6.589,49.12,70,83,12.86
143,Hambantota,LK,2021-09-29 16:21:15,6.1241,81.1185,82.45,69,94,15.35
144,Tautira,PF,2021-09-29 16:21:15,-17.7333,-149.15,73.42,71,33,16.26
145,Elena,BG,2021-09-29 16:21:15,42.9333,25.8833,62.71,74,100,0.63
146,Touros,BR,2021-09-29 16:21:16,-5.1989,-35.4608,86.9,61,25,18.5
147,Sao Filipe,CV,2021-09-29 16:21:16,14.8961,-24.4956,79.84,78,25,0.67
148,Mugur-Aksy,RU,2021-09-29 16:21:16,50.35,90.5,34.43,72,36,3.8
149,Soro,IN,2021-09-29 16:21:17,21.2881,86.6858,77.92,95,100,6.46
150,North Bend,US,2021-09-29 16:21:17,43.4065,-124.2243,56.12,93,1,10.36
151,Rulenge,TZ,2021-09-29 16:21:17,-2.7175,30.6325,72.79,58,83,1.19
152,Castro,BR,2021-09-29 16:20:38,-24.7911,-50.0119,82.83,39,60,8.08
153,Kodiak,US,2021-09-29 16:21:18,57.79,-152.4072,33.31,86,40,4.61
154,Boyolangu,ID,2021-09-29 16:21:18,-8.1181,111.8935,74.21,92,85,3.8
155,Kruisfontein,ZA,2021-09-29 16:21:19,-34.0033,24.7314,53.89,80,100,18.43
156,Iqaluit,CA,2021-09-29 16:16:30,63.7506,-68.5145,35.33,80,75,11.01
157,Santa Cruz,BO,2021-09-29 16:21:03,-17.8,-63.1667,94.46,49,40,13.8
158,Codrington,AU,2021-09-29 16:21:19,-38.2667,141.9667,53.44,97,100,17.76
159,Huarmey,PE,2021-09-29 16:21:19,-10.0681,-78.1522,67.3,75,74,8.55
160,Belmonte,BR,2021-09-29 16:21:20,-15.8631,-38.8828,81.1,59,17,9.42
161,Imbituba,BR,2021-09-29 16:21:20,-28.24,-48.6703,73.29,77,92,10.09
162,Port Elizabeth,ZA,2021-09-29 16:18:10,-33.918,25.5701,57.49,82,90,11.5
163,Yicheng,CN,2021-09-29 16:21:20,31.3705,119.8703,69.44,93,37,6.2
164,Ola,RU,2021-09-29 16:21:21,59.5833,151.2833,31.21,60,81,8.93
165,Sinnamary,GF,2021-09-29 16:21:21,5.3833,-52.95,85.82,65,30,7.49
166,Puerto Madryn,AR,2021-09-29 16:21:22,-42.7692,-65.0385,69.91,26,41,27.07
167,Hasaki,JP,2021-09-29 16:21:22,35.7333,140.8333,66.49,73,100,7.61
168,Khatanga,RU,2021-09-29 16:21:22,71.9667,102.5,29.89,70,84,11.97
169,Morondava,MG,2021-09-29 16:21:23,-20.2833,44.2833,78.33,75,2,14.27
170,Mahebourg,MU,2021-09-29 16:21:23,-20.4081,57.7,73.26,78,20,11.5
171,Majene,ID,2021-09-29 16:21:23,-3.5403,118.9707,79.14,87,84,9.44
172,Eatonton,US,2021-09-29 16:18:03,33.3268,-83.3885,84.02,70,4,2.8
173,Pasni,PK,2021-09-29 16:21:24,25.2631,63.471,85.46,67,30,8.52
174,Arlit,NE,2021-09-29 16:21:24,18.7369,7.3853,100.29,10,67,16.91
175,Acajutla,SV,2021-09-29 16:21:24,13.5928,-89.8275,88.14,64,99,6.58
176,Edwardsville,US,2021-09-29 16:20:51,38.8114,-89.9532,84.18,67,1,3.0
177,Kaitangata,NZ,2021-09-29 16:21:25,-46.2817,169.8464,42.93,73,77,11.59
178,Caudry,FR,2021-09-29 16:21:25,50.1249,3.4119,58.17,63,6,14.72
179,Saint-Philippe,RE,2021-09-29 16:21:25,-21.3585,55.7679,71.19,80,46,12.95
180,Ugoofaaru,MV,2021-09-29 16:21:26,5.6667,73.0,82.31,77,92,9.91
181,Hokitika,NZ,2021-09-29 16:21:26,-42.7167,170.9667,48.16,85,77,11.79
182,Taoudenni,ML,2021-09-29 16:21:26,22.6783,-3.9836,105.4,5,0,9.24
183,San Patricio,US,2021-09-29 16:21:27,28.017,-97.5169,80.47,65,46,11.97
184,Haines Junction,CA,2021-09-29 16:21:27,60.7522,-137.5108,24.75,93,64,0.0
185,Mayumba,GA,2021-09-29 16:21:27,-3.432,10.6554,77.0,83,72,8.97
186,Dromolaxia,CY,2021-09-29 16:21:28,34.8761,33.586,81.64,77,20,13.8
187,Topolobampo,MX,2021-09-29 16:21:28,25.6,-109.05,87.06,67,2,6.78
188,Pevek,RU,2021-09-29 16:21:28,69.7008,170.3133,27.95,87,100,22.39
189,Amapa,BR,2021-09-29 16:21:29,1.0,-52.0,95.86,33,0,4.34
190,Norman Wells,CA,2021-09-29 16:21:29,65.282,-126.8329,28.44,80,75,4.61
191,Aykhal,RU,2021-09-29 16:21:29,66.0,111.5,26.78,61,23,4.81
192,Sorland,NO,2021-09-29 16:21:29,67.667,12.6934,53.67,80,100,11.9
193,Orange,US,2021-09-29 16:17:28,33.7,-117.7675,71.15,80,20,1.01
194,Dasoguz,TM,2021-09-29 16:21:30,41.8363,59.9666,62.55,59,0,11.5
195,Lerwick,GB,2021-09-29 16:21:30,60.1545,-1.1494,51.8,82,100,10.71
196,Yar-Sale,RU,2021-09-29 16:21:31,66.8333,70.8333,37.33,85,85,14.03
197,Narsaq,GL,2021-09-29 16:21:31,60.9167,-46.05,41.22,35,9,1.07
198,Akdepe,TM,2021-09-29 16:21:31,42.0551,59.3788,62.69,39,10,11.68
199,Vao,NC,2021-09-29 16:21:32,-22.6667,167.4833,69.39,76,69,19.28
200,La Rioja,ES,2021-09-29 16:21:32,42.25,-2.5,66.49,52,89,9.89
201,Sambava,MG,2021-09-29 16:21:32,-14.2667,50.1667,73.17,78,89,13.15
202,Juneau,US,2021-09-29 16:21:18,58.3019,-134.4197,44.65,97,90,0.0
203,Srivardhan,IN,2021-09-29 16:21:33,18.0333,73.0167,78.93,88,100,9.13
204,Beya,RU,2021-09-29 16:21:33,53.0533,90.9139,42.3,74,100,3.02
205,Hualmay,PE,2021-09-29 16:21:33,-11.0964,-77.6139,66.85,73,68,7.23
206,A Coruna,ES,2021-09-29 16:21:34,43.3713,-8.396,70.25,79,20,15.01
207,Oswego,US,2021-09-29 16:17:12,43.4501,-76.1497,63.91,68,10,5.99
208,Katsuura,JP,2021-09-29 16:21:34,35.1333,140.3,72.1,74,100,6.4
209,Nabire,ID,2021-09-29 16:21:35,-3.3667,135.4833,77.29,89,96,2.55
210,Cam Ranh,VN,2021-09-29 16:21:35,11.9214,109.1591,82.36,57,40,6.91
211,Chervone,UA,2021-09-29 16:21:35,49.9564,28.8645,52.03,61,100,8.66
212,Ngozi,BI,2021-09-29 16:21:36,-2.9075,29.8306,66.58,65,99,2.51
213,Kulu,TR,2021-09-29 16:21:36,39.0951,33.0799,66.38,43,100,11.54
214,Batsfjord,NO,2021-09-29 16:21:36,70.6345,29.7185,47.98,76,0,8.05
215,Purbalingga,ID,2021-09-29 16:21:36,-7.3881,109.3639,77.41,93,81,1.74
216,Kondinskoye,RU,2021-09-29 16:21:37,59.6481,67.41,37.04,81,98,6.33
217,Burnie,AU,2021-09-29 16:21:37,-41.0667,145.9167,51.93,79,100,15.61
218,Tiksi,RU,2021-09-29 16:21:37,71.6872,128.8694,31.37,86,100,5.88
219,Saint-Augustin,CA,2021-09-29 16:21:38,51.226,-58.6502,57.58,64,100,10.49
220,Udachnyy,RU,2021-09-29 16:21:38,66.4167,112.4,27.09,66,43,4.09
221,Blackford,US,2021-09-29 16:21:38,40.4511,-85.37,74.82,48,0,6.98
222,Xining,CN,2021-09-29 16:21:39,36.6167,101.7667,54.1,50,1,1.9
223,Sanford,US,2021-09-29 16:20:37,28.8006,-81.2731,87.93,58,20,1.99
224,Adelaide,AU,2021-09-29 16:21:39,-34.9333,138.6,57.56,89,0,6.91
225,Bambous Virieux,MU,2021-09-29 16:21:40,-20.3428,57.7575,73.22,78,20,11.5
226,Richards Bay,ZA,2021-09-29 16:21:40,-28.783,32.0377,67.35,73,100,7.25
227,Kansanshi,ZM,2021-09-29 16:21:40,-12.0951,26.4273,77.5,37,80,3.87
228,Prince Rupert,CA,2021-09-29 16:18:10,54.3161,-130.3201,51.49,88,90,10.36
229,Deputatskiy,RU,2021-09-29 16:21:41,69.3,139.9,14.16,85,31,3.2
230,Belyy Yar,RU,2021-09-29 16:21:41,53.6039,91.3903,42.69,65,0,4.47
231,Myskhako,RU,2021-09-29 16:21:41,44.6714,37.7433,56.98,58,46,23.09
232,Cacoal,BR,2021-09-29 16:21:41,-11.4386,-61.4472,101.39,28,79,3.89
233,Flin Flon,CA,2021-09-29 16:21:42,54.7682,-101.865,60.64,77,90,4.61
234,Elektrogorsk,RU,2021-09-29 16:21:42,55.8794,38.7919,42.55,76,83,4.43
235,Maroantsetra,MG,2021-09-29 16:21:43,-15.4333,49.7333,71.38,82,59,6.96
236,Teya,RU,2021-09-29 16:21:43,60.3778,92.6267,35.42,76,92,2.75
237,Sibu,MY,2021-09-29 16:21:43,2.3,111.8167,79.11,94,40,0.0
238,Las Guacamayas,MX,2021-09-29 16:21:44,18.0167,-102.2167,82.38,70,100,2.33
239,Gornozavodsk,RU,2021-09-29 16:21:44,58.3758,58.3211,32.09,89,16,3.58
240,Tsogni,GA,2021-09-29 16:21:44,-2.7942,10.0988,77.79,79,74,9.24
241,Cairns,AU,2021-09-29 16:21:45,-16.9167,145.7667,73.35,89,40,3.44
242,Lebu,CL,2021-09-29 16:21:45,-37.6167,-73.65,55.35,55,2,9.06
243,Tasiilaq,GL,2021-09-29 16:21:45,65.6145,-37.6368,44.76,64,45,4.43
244,Boa Vista,BR,2021-09-29 16:21:23,2.8197,-60.6733,91.38,46,75,6.91
245,Urusha,RU,2021-09-29 16:21:46,54.05,122.9,34.09,86,100,3.91
246,Oktyabrskiy,RU,2021-09-29 16:21:46,54.4815,53.471,38.88,58,88,5.95
247,Dingle,PH,2021-09-29 16:21:46,10.9995,122.6711,77.11,91,90,3.02
248,Byron Bay,AU,2021-09-29 16:21:47,-28.65,153.6167,67.95,86,100,13.89
249,Ozu,JP,2021-09-29 16:21:47,33.5,132.55,68.58,94,3,4.76
250,Asau,RO,2021-09-29 16:21:47,46.4333,26.4,56.39,81,93,4.43
251,Kavieng,PG,2021-09-29 16:21:48,-2.5744,150.7967,82.18,79,47,14.47
252,Husavik,IS,2021-09-29 16:21:48,66.0449,-17.3389,42.71,67,100,23.6
253,Sobolevo,RU,2021-09-29 16:21:48,54.4299,31.8996,43.74,71,78,4.18
254,Nizhniy Baskunchak,RU,2021-09-29 16:20:15,48.2198,46.8311,50.54,43,63,7.81
255,Khovu-Aksy,RU,2021-09-29 16:21:49,51.1333,93.6,35.98,50,94,4.59
256,Atasu,KZ,2021-09-29 16:21:49,48.6814,71.6433,50.65,65,100,12.55
