City_ID,City,Country,Max Temp,Current_Description,Lat,Lng,Hotel Name
587,Kingaroy,AU,61.09,light rain,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
591,Cap-Aux-Meules,CA,56.98,overcast clouds,47.3821,-61.8597,Auberge Madeli
593,Richards Bay,ZA,66.6,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
594,Kalininskaya,RU,50.27,clear sky,45.4822,38.6628,"Gostevoy Dom ""Gul'den"""
598,Codrington,AU,55.6,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
603,Elko,US,66.63,clear sky,41.0002,-115.5012,
606,Port Shepstone,ZA,66.87,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
608,Cachira,CO,59.97,overcast clouds,7.741,-73.0483,Hotel Centro de Amigos
611,Saint-Michel-Des-Saints,CA,52.93,broken clouds,46.6834,-73.9159,Motel Du Mont trinity
613,Nantucket,US,60.94,broken clouds,41.2835,-70.0995,Jared Coffin House
619,Livingstonia,MW,68.22,scattered clouds,-10.606,34.1063,Stone House Guest House
621,Havre,FR,58.77,overcast clouds,49.5833,0.3333,gite bois jourdain
622,Plonsk,PL,52.23,overcast clouds,52.6235,20.3755,Hotel Martex
635,Anklam,DE,50.05,broken clouds,53.8564,13.6897,Hotel Pommernland - Hansestadt Anklam
640,Black Forest,US,54.73,overcast clouds,39.0131,-104.7008,Datt Properties
646,Wanaka,NZ,50.11,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
650,Mwinilunga,ZM,68.76,broken clouds,-11.7358,24.4293,Kwakuwahi Lodge
655,Machali,CL,64.18,scattered clouds,-34.1833,-70.6667,Mining House
656,Kitakata,JP,66.31,overcast clouds,37.65,139.8667,いろり古民家の宿 志ぐれ亭
658,Rudsar,IR,68.34,broken clouds,37.1376,50.288,Hotel Bahar
661,Portsmouth,GB,61.0,overcast clouds,50.799,-1.0913,Best Western Royal Beach Hotel
666,Imbituba,BR,65.5,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
672,Simeonovgrad,BG,56.32,overcast clouds,42.0333,25.8333,ПРЕВОЭ ТАКСИТА
674,Boo,SE,53.76,overcast clouds,59.3333,18.2833,Yasuragi
676,Kijang,KR,66.22,clear sky,35.2442,129.2139,Samyang Beach Villa
