City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
169,Walvis Bay,NA,-22.9575,14.5053,56.08,91,26,12.06,scattered clouds
170,Luderitz,NA,-26.6481,15.1594,55.42,97,24,8.19,few clouds
171,Necochea,AR,-38.5473,-58.7368,65.03,82,72,6.08,broken clouds
172,Morgan City,US,29.6994,-91.2068,84.0,67,61,7.25,broken clouds
173,Bethel,US,41.3712,-73.414,63.05,68,96,6.04,overcast clouds
174,Nargana,PA,9.4428,-78.5906,81.48,77,70,1.39,broken clouds
175,Champerico,GT,14.3,-91.9167,87.35,73,19,5.73,few clouds
176,Anchorage,US,61.2181,-149.9003,45.43,59,69,1.99,broken clouds
177,Pulandian,CN,39.3953,121.9669,62.73,95,88,6.24,overcast clouds
178,Namwala,ZM,-15.7504,26.4384,81.1,30,0,10.69,clear sky
179,Castro,BR,-24.7911,-50.0119,70.72,59,43,10.71,scattered clouds
180,Qaanaaq,GL,77.484,-69.3632,26.49,88,100,11.45,overcast clouds
181,Torbay,CA,47.6666,-52.7314,60.76,99,90,2.3,light intensity shower rain
182,Tuktoyaktuk,CA,69.4541,-133.0374,24.46,87,20,4.0,few clouds
183,Tuatapere,NZ,-46.1333,167.6833,50.83,75,80,4.12,broken clouds
184,Pandhana,IN,21.7,76.2167,75.47,89,18,3.85,few clouds
185,Muravlenko,RU,63.7898,74.523,31.6,93,100,18.77,overcast clouds
186,Sorong,ID,-0.8833,131.25,80.08,79,43,1.99,scattered clouds
187,Ocos,GT,14.5094,-92.1933,87.31,70,27,5.26,scattered clouds
188,Dengzhou,CN,37.8086,120.7508,68.38,92,4,7.05,clear sky
189,Emba,KZ,48.8264,58.1442,40.71,57,9,5.26,clear sky
190,Iqaluit,CA,63.7506,-68.5145,29.7,100,6,3.0,clear sky
191,Sao Joao De Pirabas,BR,-0.7747,-47.1772,79.09,80,50,4.74,scattered clouds
192,Kissing,DE,48.3037,10.9709,50.11,84,75,2.3,broken clouds
193,Ixtapa,MX,20.7,-105.2,87.22,73,60,4.0,broken clouds
194,Ribeira Grande,PT,38.5167,-28.7,72.32,83,16,2.53,few clouds
195,Oran,DZ,35.6911,-0.6417,71.31,88,20,3.44,few clouds
196,Monrovia,LR,6.3005,-10.7969,78.57,85,99,7.25,overcast clouds
197,Susanino,RU,58.1461,41.5872,40.5,96,37,4.68,scattered clouds
198,Haimen,CN,23.1935,116.6142,79.72,87,2,5.41,clear sky
199,Nanortalik,GL,60.1432,-45.2371,37.18,57,0,5.41,clear sky
200,Zarand,IR,30.8127,56.564,72.28,12,0,4.68,clear sky
201,Acarau,BR,-2.8856,-40.12,79.97,81,62,13.85,broken clouds
202,Constitucion,CL,-35.3333,-72.4167,55.24,58,9,13.82,clear sky
203,Namibe,AO,-15.1961,12.1522,61.34,84,13,10.54,few clouds
204,Kavaratti,IN,10.5669,72.642,81.82,78,99,13.91,overcast clouds
205,Mananara,MG,-16.1667,49.7667,69.22,90,14,4.12,light rain
206,Kruisfontein,ZA,-34.0033,24.7314,60.89,99,100,5.91,overcast clouds
207,Scarborough,GB,54.2797,-0.4044,57.07,89,100,4.0,overcast clouds
208,Mouila,GA,-1.8685,11.0559,75.36,92,100,2.53,light rain
209,College,US,64.8569,-147.8028,33.58,70,99,4.29,overcast clouds
210,Nome,US,64.5011,-165.4064,34.16,74,35,12.53,scattered clouds
211,Dakoro,NE,14.5106,6.765,91.74,22,59,5.59,broken clouds
212,Alofi,NU,-19.0595,-169.9187,76.48,72,45,16.93,scattered clouds
213,Lazaro Cardenas,MX,17.9583,-102.2,84.34,72,46,7.0,scattered clouds
214,Khatanga,RU,71.9667,102.5,29.19,98,100,6.96,light snow
215,Jos,NG,9.9167,8.9,67.86,81,74,3.06,broken clouds
216,Cedar City,US,37.6775,-113.0619,62.4,26,0,11.03,clear sky
217,Port Augusta,AU,-32.5,137.7667,55.71,92,8,12.21,clear sky
218,Zhigansk,RU,66.7697,123.3711,27.23,71,81,4.0,broken clouds
219,Port Hueneme,US,34.1478,-119.1951,98.6,31,1,14.97,clear sky
220,Rudraprayag,IN,30.2833,78.9833,71.82,97,53,1.79,broken clouds
221,Portland,US,45.5234,-122.6762,63.73,90,90,1.99,mist
222,Maraba,BR,-5.3686,-49.1178,85.46,52,81,3.67,broken clouds
223,Monte Alegre,BR,-2.0078,-54.0692,89.4,49,40,4.52,scattered clouds
224,Hofn,IS,64.2539,-15.2082,45.41,73,100,24.29,overcast clouds
225,Lavrentiya,RU,65.5833,-171.0,32.47,80,37,16.31,scattered clouds
226,Jumla,NP,29.2747,82.1838,59.88,90,90,0.56,overcast clouds
227,Souillac,MU,-20.5167,57.5167,72.36,76,57,12.73,broken clouds
228,Krasnoselkup,RU,65.7,82.4667,30.49,97,100,14.38,light snow
229,Herat,AF,34.5,62.0,62.87,35,0,12.46,clear sky
230,San Patricio,US,28.017,-97.5169,91.02,57,97,12.57,light rain
231,Mazamari,PE,-11.3258,-74.5308,84.13,54,99,3.02,overcast clouds
232,Manaure,CO,11.7751,-72.4445,85.19,69,86,14.94,overcast clouds
233,Pisco,PE,-13.7,-76.2167,65.01,84,32,7.72,scattered clouds
234,Meulaboh,ID,4.1363,96.1285,75.72,92,100,8.86,moderate rain
235,Shakiso,ET,5.75,38.9167,60.46,93,99,2.75,overcast clouds
236,Elsmere,US,39.0126,-84.6047,79.86,48,100,1.01,overcast clouds
237,Huarmey,PE,-10.0681,-78.1522,68.76,75,69,12.17,broken clouds
238,Sorland,NO,67.667,12.6934,51.87,71,94,6.87,overcast clouds
239,Hambantota,LK,6.1241,81.1185,79.14,94,40,3.44,scattered clouds
240,Geraldton,AU,-28.7667,114.6,64.81,94,90,17.27,overcast clouds
241,Camana,PE,-16.6228,-72.7111,66.31,72,21,7.45,few clouds
242,Saint-Denis,FR,48.9167,2.3333,57.15,66,0,6.91,clear sky
243,Ossora,RU,59.2353,163.0719,35.71,44,37,3.24,scattered clouds
244,Beringovskiy,RU,63.05,179.3167,31.01,80,100,16.17,overcast clouds
245,Cockburn Town,TC,21.4612,-71.1419,83.16,70,0,11.74,clear sky
246,Sao Filipe,CV,14.8961,-24.4956,79.43,79,81,3.74,broken clouds
247,Tecoanapa,MX,16.5167,-98.75,84.6,70,15,8.34,few clouds
248,Bundaberg,AU,-24.85,152.35,66.22,92,100,1.01,light rain
249,Bridlington,GB,54.0831,-0.1919,59.18,85,100,17.54,overcast clouds
